insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_2,2022-04-13 18:55:57,1,1,1,1,0,0,0,0,0,0,0,2022-04-13 18:55:57,2,2,5,15
2,scraper_1,2022-04-13 18:55:57,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 18:55:57,2,2,5,15
3,scraper_1,2022-04-13 19:00:08,751,502,502,486,14406,39,16044,711,695,722,701,2022-04-13 19:00:08,2,2,5,15
4,scraper_2,2022-04-13 19:00:51,729,502,502,486,17743,20,18560,833,812,845,821,2022-04-13 19:00:51,2,2,5,15
5,scraper_2,2022-04-13 19:03:39,1165,1008,1008,992,25469,52,26658,1348,1284,1383,1302,2022-04-13 19:03:39,2,2,5,15
6,scraper_1,2022-04-13 19:03:50,1214,1003,1003,987,30882,64,32104,1379,1305,1431,1328,2022-04-13 19:03:50,2,2,5,15
7,scraper_1,2022-04-13 19:06:26,1611,1504,1504,1488,44732,99,44885,1853,1725,1922,1765,2022-04-13 19:06:26,2,2,5,15
8,scraper_2,2022-04-13 19:08:33,1555,1511,1511,1495,47168,109,47103,2169,2032,2240,2074,2022-04-13 19:08:33,2,2,5,15
9,scraper_1,2022-04-13 19:10:44,2146,2005,2005,1989,65305,205,62944,2433,2293,2504,2335,2022-04-13 19:10:44,2,2,5,15
10,scraper_2,2022-04-13 19:11:34,2315,2012,2012,1996,56850,357,55719,2527,2387,2598,2429,2022-04-13 19:11:34,2,2,5,15
11,scraper_2,2022-04-13 19:16:24,2674,2521,2521,2505,60791,661,58932,2788,2645,2858,2687,2022-04-13 19:16:24,2,2,5,15
12,scraper_1,2022-04-13 19:17:34,2577,2507,2507,2491,80158,312,76137,2837,2694,2907,2736,2022-04-13 19:17:34,2,2,5,15
13,scraper_1,2022-04-13 19:21:52,3156,3008,3008,2992,92773,380,88953,3109,2965,3178,3007,2022-04-13 19:21:52,2,2,5,15
14,scraper_2,2022-04-13 19:23:41,3063,3022,3022,3006,74799,977,70923,3144,2999,3212,3041,2022-04-13 19:23:41,2,2,5,15
