insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-13 21:41:30,1,1,1,1,0,0,0,0,0,0,0,2022-04-13 21:41:30,2,3,8,10
2,scraper_2,2022-04-13 21:41:30,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 21:41:30,2,3,8,10
3,scraper_1,2022-04-13 21:42:55,1074,505,505,493,9229,12,10146,577,522,583,539,2022-04-13 21:42:55,2,3,8,10
4,scraper_2,2022-04-13 21:42:56,673,503,503,488,18777,46,19223,582,525,588,543,2022-04-13 21:42:56,2,3,8,10
5,scraper_2,2022-04-13 21:43:40,1194,1004,1004,988,25392,56,27533,824,712,840,742,2022-04-13 21:43:40,2,3,8,10
6,scraper_1,2022-04-13 21:43:58,1420,1006,1006,990,9869,32,11200,843,715,848,752,2022-04-13 21:43:58,2,3,8,10
7,scraper_2,2022-04-13 21:44:47,1925,1507,1507,1492,25566,57,27723,920,716,866,769,2022-04-13 21:44:47,2,3,8,10
8,scraper_1,2022-04-13 21:45:26,1810,1515,1515,1499,11516,53,13662,1059,770,952,856,2022-04-13 21:45:26,2,3,8,10
9,scraper_2,2022-04-13 21:45:52,2128,2013,2013,1996,36143,62,37612,1282,980,1180,1072,2022-04-13 21:45:52,2,3,8,10
10,scraper_1,2022-04-13 21:46:33,2233,2023,2023,2007,22196,196,24364,1642,1326,1545,1420,2022-04-13 21:46:33,2,3,8,10
11,scraper_2,2022-04-13 21:46:52,3037,2520,2520,2502,52894,110,53331,1769,1444,1672,1540,2022-04-13 21:46:52,2,3,8,10
12,scraper_1,2022-04-13 21:47:14,2664,2529,2529,2513,30614,350,32878,1929,1594,1831,1693,2022-04-13 21:47:14,2,3,8,10
13,scraper_2,2022-04-13 21:47:47,3249,3021,3021,3002,68909,180,68739,2205,1865,2106,1961,2022-04-13 21:47:47,2,3,8,10
14,scraper_1,2022-04-13 21:48:13,3416,3030,3030,3014,47889,516,50104,2415,2059,2316,2164,2022-04-13 21:48:13,2,3,8,10
15,scraper_1,2022-04-13 21:49:16,3769,3537,3537,3520,60164,718,62149,2722,2352,2623,2459,2022-04-13 21:49:16,2,3,8,10
16,scraper_2,2022-04-13 21:49:30,3886,3522,3522,3504,81185,218,80589,2780,2405,2678,2511,2022-04-13 21:49:30,2,3,8,10
17,scraper_1,2022-04-13 21:50:02,4230,4040,4040,4022,65155,789,67015,2967,2567,2877,2671,2022-04-13 21:50:02,2,3,8,10
18,scraper_2,2022-04-13 21:50:17,4307,4029,4029,4010,91313,344,89424,3066,2650,2994,2759,2022-04-13 21:50:17,2,3,8,10
19,scraper_1,2022-04-13 21:50:40,4744,4547,4547,4529,67386,864,68461,3212,2767,3185,2893,2022-04-13 21:50:40,2,3,8,10
20,scraper_2,2022-04-13 21:50:52,4688,4533,4533,4514,104305,549,100039,3271,2826,3244,2952,2022-04-13 21:50:52,2,3,8,10
21,scraper_2,2022-04-13 21:51:45,5172,5039,5039,5027,132566,686,123237,3622,3164,3595,3296,2022-04-13 21:51:45,2,3,8,10
22,scraper_1,2022-04-13 21:52:15,5110,5052,5052,5033,76912,1236,75222,3787,3329,3760,3461,2022-04-13 21:52:15,2,3,8,10
23,scraper_2,2022-04-13 21:52:46,5548,5540,5540,5526,162333,688,145626,3984,3525,3957,3657,2022-04-13 21:52:46,2,3,8,10
24,scraper_1,2022-04-13 21:53:10,5590,5553,5553,5534,102283,1636,96358,4004,3545,3977,3677,2022-04-13 21:53:10,2,3,8,10
