insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-13 14:37:09,1,1,1,1,0,0,0,0,0,0,0,2022-04-13 14:37:09,4,3,8,10
2,scraper_3,2022-04-13 14:37:09,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 14:37:09,4,3,8,10
3,scraper_2,2022-04-13 14:37:09,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 14:37:09,4,3,8,10
4,scraper_4,2022-04-13 14:37:09,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 14:37:09,4,3,8,10
5,scraper_2,2022-04-13 14:42:55,973,502,502,486,9846,52,11233,721,636,753,657,2022-04-13 14:42:55,4,3,8,10
6,scraper_4,2022-04-13 14:43:33,981,510,510,494,9625,82,10474,880,726,888,802,2022-04-13 14:43:33,4,3,8,10
7,scraper_3,2022-04-13 14:44:39,906,503,503,487,10516,92,11534,1094,877,1142,1066,2022-04-13 14:44:39,4,3,8,10
8,scraper_1,2022-04-13 14:45:09,918,503,503,487,14533,108,15542,1178,949,1229,1139,2022-04-13 14:45:09,4,3,8,10
9,scraper_4,2022-04-13 14:46:28,1486,1014,1014,998,15524,146,16772,1358,1121,1408,1312,2022-04-13 14:46:28,4,3,8,10
10,scraper_2,2022-04-13 14:47:51,1414,1005,1005,989,19192,143,20436,1558,1313,1614,1504,2022-04-13 14:47:51,4,3,8,10
11,scraper_3,2022-04-13 14:49:59,1288,1015,1015,999,24145,417,24488,1832,1580,1888,1773,2022-04-13 14:49:59,4,3,8,10
12,scraper_4,2022-04-13 14:51:09,1806,1516,1516,1500,28089,476,28790,1947,1693,2003,1886,2022-04-13 14:51:09,4,3,8,10
13,scraper_1,2022-04-13 14:51:55,1324,1006,1006,990,31406,341,31345,2012,1754,2068,1948,2022-04-13 14:51:55,4,3,8,10
14,scraper_2,2022-04-13 14:54:00,1796,1524,1524,1508,29746,391,30539,2158,1899,2214,2094,2022-04-13 14:54:00,4,3,8,10
15,scraper_3,2022-04-13 14:55:42,1827,1519,1519,1503,35127,684,34725,2252,1992,2307,2187,2022-04-13 14:55:42,4,3,8,10
16,scraper_1,2022-04-13 14:56:09,1749,1507,1507,1491,42611,609,42251,2279,2018,2334,2213,2022-04-13 14:56:09,4,3,8,10
17,scraper_4,2022-04-13 14:57:24,2282,2025,2025,2009,40631,726,40456,2339,2078,2394,2273,2022-04-13 14:57:24,4,3,8,10
18,scraper_2,2022-04-13 14:57:59,2253,2025,2025,2009,46588,771,44985,2363,2102,2418,2297,2022-04-13 14:57:59,4,3,8,10
19,scraper_3,2022-04-13 14:59:03,2221,2020,2020,2004,53737,1116,50149,2411,2150,2466,2345,2022-04-13 14:59:03,4,3,8,10
20,scraper_4,2022-04-13 15:01:15,2844,2526,2526,2510,64993,1139,60398,2545,2282,2599,2478,2022-04-13 15:01:15,4,3,8,10
21,scraper_1,2022-04-13 15:01:59,2328,2017,2017,2001,68998,981,63615,2661,2389,2714,2582,2022-04-13 15:01:59,4,3,8,10
22,scraper_2,2022-04-13 15:03:37,2977,2527,2527,2512,67515,1103,63043,2866,2588,2919,2787,2022-04-13 15:03:37,4,3,8,10
23,scraper_3,2022-04-13 15:05:13,2741,2528,2528,2509,71132,1408,64533,3005,2721,3059,2925,2022-04-13 15:05:13,4,3,8,10
24,scraper_2,2022-04-13 15:07:28,3407,3029,3029,3015,74123,1129,70380,3241,2926,3305,3144,2022-04-13 15:07:28,4,3,8,10
25,scraper_4,2022-04-13 15:08:09,3168,3027,3027,3011,87018,1479,78266,3308,2966,3375,3194,2022-04-13 15:08:09,4,3,8,10
26,scraper_2,2022-04-13 15:08:10,3728,3547,3547,3531,80189,1385,75045,3309,2967,3376,3195,2022-04-13 15:08:10,4,3,8,10
27,scraper_1,2022-04-13 15:09:07,2598,2518,2518,2502,92404,1287,82346,3366,3023,3433,3251,2022-04-13 15:09:07,4,3,8,10
28,scraper_4,2022-04-13 15:09:57,3589,3528,3528,3512,93384,1571,84361,3482,3064,3585,3305,2022-04-13 15:09:57,4,3,8,10
29,scraper_3,2022-04-13 15:09:57,3189,3032,3032,3013,88780,1707,79890,3486,3065,3593,3306,2022-04-13 15:09:57,4,3,8,10
30,scraper_1,2022-04-13 15:11:53,3076,3023,3023,3004,103081,1432,90975,3604,3165,3733,3422,2022-04-13 15:11:53,4,3,8,10
31,scraper_3,2022-04-13 15:12:04,3546,3539,3539,3520,97217,1866,86654,3630,3191,3759,3448,2022-04-13 15:12:04,4,3,8,10
