insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 19:10:16,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 19:10:16,1,5,25,45
2,scraper_1,2022-04-14 19:12:32,1176,505,505,490,18460,0,19814,342,313,348,311,2022-04-14 19:12:32,1,5,25,45
3,scraper_1,2022-04-14 19:12:45,2309,1009,1009,993,19760,0,21770,415,338,397,340,2022-04-14 19:12:45,1,5,25,45
4,scraper_1,2022-04-14 19:12:53,2387,1510,1510,1494,19944,0,21838,484,339,400,348,2022-04-14 19:12:53,1,5,25,45
5,scraper_1,2022-04-14 19:13:06,2621,2013,2013,1997,20821,0,22685,536,357,438,372,2022-04-14 19:13:06,1,5,25,45
6,scraper_1,2022-04-14 19:14:10,3184,2517,2517,2502,27982,0,31420,700,479,610,511,2022-04-14 19:14:10,1,5,25,45
7,scraper_1,2022-04-14 19:14:18,3934,3026,3026,3007,29982,0,33687,783,492,724,532,2022-04-14 19:14:18,1,5,25,45
8,scraper_1,2022-04-14 19:14:43,4599,3529,3529,3517,31760,0,34627,926,511,809,551,2022-04-14 19:14:43,1,5,25,45
9,scraper_1,2022-04-14 19:14:53,4975,4030,4030,4016,34182,0,34839,960,518,824,554,2022-04-14 19:14:53,1,5,25,45
10,scraper_1,2022-04-14 19:14:58,5421,4532,4532,4515,35426,0,35353,1073,532,896,566,2022-04-14 19:14:58,1,5,25,45
11,scraper_1,2022-04-14 19:15:07,5751,5040,5040,5021,36439,0,36398,1149,545,966,592,2022-04-14 19:15:07,1,5,25,45
12,scraper_1,2022-04-14 19:15:13,6307,5543,5543,5521,37321,0,36818,1211,551,1047,604,2022-04-14 19:15:13,1,5,25,45
13,scraper_1,2022-04-14 19:15:20,6751,6049,6049,6027,38241,0,37558,1350,568,1196,721,2022-04-14 19:15:20,1,5,25,45
14,scraper_1,2022-04-14 19:15:31,7153,6556,6556,6533,38942,0,38750,1439,586,1331,834,2022-04-14 19:15:31,1,5,25,45
15,scraper_1,2022-04-14 19:15:38,7741,7059,7059,7036,40503,0,39695,1485,590,1393,851,2022-04-14 19:15:38,1,5,25,45
16,scraper_1,2022-04-14 19:15:48,8122,7561,7561,7538,41804,0,40087,1512,593,1414,869,2022-04-14 19:15:48,1,5,25,45
17,scraper_1,2022-04-14 19:18:46,8674,8062,8062,8034,57007,0,55877,1846,901,1750,1182,2022-04-14 19:18:46,1,5,25,45
18,scraper_1,2022-04-14 19:33:53,9168,8563,8563,8535,85502,0,82714,2301,1348,2203,1629,2022-04-14 19:33:53,1,5,25,45
19,scraper_1,2022-04-14 19:42:39,10109,9067,9067,9039,103543,0,99954,2604,1610,2494,1908,2022-04-14 19:42:39,1,5,25,45
20,scraper_1,2022-04-14 19:42:53,10475,9569,9569,9541,107710,0,102181,2643,1614,2506,1930,2022-04-14 19:42:53,1,5,25,45
21,scraper_1,2022-04-14 19:43:08,10870,10071,10071,10043,117053,0,113980,2650,1616,2511,1934,2022-04-14 19:43:08,1,5,25,45
22,scraper_1,2022-04-14 19:43:23,11258,10573,10573,10545,126460,0,122573,2663,1620,2517,1940,2022-04-14 19:43:23,1,5,25,45
23,scraper_1,2022-04-14 19:43:35,11865,11074,11074,11046,127594,0,124321,2732,1629,2543,1966,2022-04-14 19:43:35,1,5,25,45
24,scraper_1,2022-04-14 19:43:57,12201,11585,11585,11557,128819,0,126267,2797,1644,2581,2005,2022-04-14 19:43:57,1,5,25,45
25,scraper_1,2022-04-14 19:44:08,12681,12086,12086,12059,129604,0,127730,2849,1647,2600,2027,2022-04-14 19:44:08,1,5,25,45
26,scraper_1,2022-04-14 19:44:18,13299,12590,12590,12562,130323,0,129547,2894,1654,2618,2051,2022-04-14 19:44:18,1,5,25,45
27,scraper_1,2022-04-14 19:44:25,13969,13108,13108,13080,131092,0,131216,2960,1663,2654,2069,2022-04-14 19:44:25,1,5,25,45
28,scraper_1,2022-04-14 19:44:35,14194,13611,13611,13583,132000,0,131914,3001,1669,2678,2079,2022-04-14 19:44:35,1,5,25,45
29,scraper_1,2022-04-14 19:45:21,14560,14113,14113,14085,147273,0,147725,3281,1911,2948,2350,2022-04-14 19:45:21,1,5,25,45
30,scraper_1,2022-04-14 19:49:48,14865,14615,14615,14587,177983,0,175781,3742,2361,3410,2798,2022-04-14 19:49:48,1,5,25,45
31,scraper_1,2022-04-14 19:51:49,15345,15116,15116,15088,205659,0,202531,4160,2762,3828,3204,2022-04-14 19:51:49,1,5,25,45
32,scraper_1,2022-04-14 19:57:07,15746,15618,15618,15591,236659,0,227498,4573,3160,4235,3603,2022-04-14 19:57:07,1,5,25,45
33,scraper_1,2022-04-14 19:57:41,16294,16120,16120,16092,245829,0,235923,4709,3293,4370,3738,2022-04-14 19:57:41,1,5,25,45
34,scraper_1,2022-04-14 20:07:32,16834,16621,16621,16593,259702,0,249427,4934,3518,4595,3963,2022-04-14 20:07:32,1,5,25,45
35,scraper_1,2022-04-14 20:12:40,17414,17122,17122,17094,272099,0,261594,5139,3723,4800,4168,2022-04-14 20:12:40,1,5,25,45
36,scraper_1,2022-04-14 20:18:37,17835,17623,17623,17595,285704,0,274416,5387,3971,5048,4416,2022-04-14 20:18:37,1,5,25,45
37,scraper_1,2022-04-14 20:19:40,18146,18124,18124,18097,302823,0,291296,5655,4238,5316,4684,2022-04-14 20:19:40,1,5,25,45
