insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 23:35:19,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 23:35:19,2,10,25,45
2,scraper_2,2022-04-14 23:35:19,1,1,1,1,0,0,0,1,1,1,1,2022-04-14 23:35:19,2,10,25,45
3,scraper_2,2022-04-14 23:35:59,1232,502,502,486,12883,31,14117,580,540,586,547,2022-04-14 23:35:59,2,10,25,45
4,scraper_1,2022-04-14 23:36:03,806,508,508,492,23939,14,25705,651,608,662,614,2022-04-14 23:36:03,2,10,25,45
5,scraper_2,2022-04-14 23:36:19,1871,1003,1003,986,19275,35,21442,882,756,914,777,2022-04-14 23:36:19,2,10,25,45
6,scraper_1,2022-04-14 23:36:21,1678,1009,1009,991,28293,22,31309,913,758,937,790,2022-04-14 23:36:21,2,10,25,45
7,scraper_1,2022-04-14 23:36:35,2142,1513,1513,1494,38386,23,32035,973,765,1018,810,2022-04-14 23:36:35,2,10,25,45
8,scraper_2,2022-04-14 23:36:40,2293,1508,1508,1490,21970,38,23713,1021,798,1082,843,2022-04-14 23:36:40,2,10,25,45
9,scraper_2,2022-04-14 23:36:52,2836,2014,2014,1995,22760,39,25836,1119,816,1214,909,2022-04-14 23:36:52,2,10,25,45
10,scraper_1,2022-04-14 23:36:54,2654,2017,2017,1998,39388,23,33165,1151,823,1252,916,2022-04-14 23:36:54,2,10,25,45
11,scraper_1,2022-04-14 23:37:02,3164,2522,2522,2503,39517,25,33582,1195,827,1315,932,2022-04-14 23:37:02,2,10,25,45
12,scraper_2,2022-04-14 23:37:08,3349,2529,2529,2510,23602,41,26145,1236,830,1368,938,2022-04-14 23:37:08,2,10,25,45
13,scraper_1,2022-04-14 23:37:08,3653,3024,3024,3005,40194,28,34066,1244,830,1376,938,2022-04-14 23:37:08,2,10,25,45
14,scraper_1,2022-04-14 23:37:16,4090,3530,3530,3511,41531,28,34108,1284,830,1409,948,2022-04-14 23:37:16,2,10,25,45
15,scraper_2,2022-04-14 23:37:25,3811,3031,3031,3014,24035,41,26301,1476,851,1504,996,2022-04-14 23:37:25,2,10,25,45
16,scraper_1,2022-04-14 23:37:27,4649,4034,4034,4018,43175,29,35045,1494,853,1525,1007,2022-04-14 23:37:27,2,10,25,45
17,scraper_2,2022-04-14 23:37:36,4934,3534,3534,3514,24814,49,28099,1545,866,1587,1037,2022-04-14 23:37:36,2,10,25,45
18,scraper_1,2022-04-14 23:37:38,5165,4561,4561,4542,44966,30,35707,1569,866,1591,1043,2022-04-14 23:37:38,2,10,25,45
19,scraper_1,2022-04-14 23:37:50,5751,5064,5064,5044,47809,30,35817,1654,875,1602,1047,2022-04-14 23:37:50,2,10,25,45
20,scraper_2,2022-04-14 23:37:51,4993,4037,4037,4016,25007,49,28133,1659,876,1602,1049,2022-04-14 23:37:51,2,10,25,45
21,scraper_1,2022-04-14 23:38:04,6085,5585,5585,5563,52023,30,35838,1711,876,1618,1058,2022-04-14 23:38:04,2,10,25,45
22,scraper_1,2022-04-14 23:38:14,6505,6092,6092,6070,53961,31,36921,1886,927,1760,1122,2022-04-14 23:38:14,2,10,25,45
23,scraper_2,2022-04-14 23:38:14,5196,4545,4545,4521,27071,62,30978,1889,927,1761,1122,2022-04-14 23:38:14,2,10,25,45
24,scraper_1,2022-04-14 23:38:26,6960,6593,6593,6571,56300,40,38499,1993,995,1902,1187,2022-04-14 23:38:26,2,10,25,45
25,scraper_1,2022-04-14 23:38:45,7535,7096,7096,7077,61964,103,44647,2196,1150,2115,1359,2022-04-14 23:38:45,2,10,25,45
26,scraper_2,2022-04-14 23:38:54,5642,5047,5047,5022,40830,193,45791,2272,1223,2192,1433,2022-04-14 23:38:54,2,10,25,45
27,scraper_1,2022-04-14 23:39:19,8085,7599,7599,7574,69679,298,53093,2506,1447,2426,1663,2022-04-14 23:39:19,2,10,25,45
28,scraper_2,2022-04-14 23:39:39,6160,5551,5551,5526,64739,278,70294,2798,1728,2717,1944,2022-04-14 23:39:39,2,10,25,45
29,scraper_2,2022-04-14 23:39:52,6629,6053,6053,6028,67812,336,74623,3011,1847,2947,2220,2022-04-14 23:39:52,2,10,25,45
30,scraper_1,2022-04-14 23:39:55,8555,8102,8102,8077,83292,490,66737,3054,1871,3002,2302,2022-04-14 23:39:55,2,10,25,45
31,scraper_1,2022-04-14 23:40:08,9075,8614,8614,8595,84884,641,68983,3141,1936,3086,2388,2022-04-14 23:40:08,2,10,25,45
32,scraper_2,2022-04-14 23:40:14,7052,6558,6558,6534,78013,477,85673,3172,1963,3118,2420,2022-04-14 23:40:14,2,10,25,45
33,scraper_1,2022-04-14 23:40:27,9537,9120,9120,9095,91349,856,74256,3264,2041,3215,2497,2022-04-14 23:40:27,2,10,25,45
34,scraper_2,2022-04-14 23:40:29,7440,7061,7061,7036,81813,609,89435,3287,2064,3238,2520,2022-04-14 23:40:29,2,10,25,45
35,scraper_1,2022-04-14 23:41:05,9787,9622,9622,9598,103311,1144,86192,3510,2273,3457,2729,2022-04-14 23:41:05,2,10,25,45
36,scraper_2,2022-04-14 23:41:23,7827,7563,7563,7539,109422,777,113493,3624,2383,3570,2841,2022-04-14 23:41:23,2,10,25,45
