insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-13 21:11:34,1,1,1,1,0,0,0,0,0,0,0,2022-04-13 21:11:34,2,3,5,10
2,scraper_2,2022-04-13 21:11:34,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 21:11:34,2,3,5,10
3,scraper_2,2022-04-13 21:12:43,1043,522,522,508,12989,64,12952,635,621,634,624,2022-04-13 21:12:43,2,3,5,10
4,scraper_1,2022-04-13 21:12:43,841,503,503,487,16137,42,16206,636,622,635,625,2022-04-13 21:12:43,2,3,5,10
5,scraper_1,2022-04-13 21:13:39,1283,1012,1012,996,25732,140,26180,1166,1125,1167,1136,2022-04-13 21:13:39,2,3,5,10
6,scraper_2,2022-04-13 21:13:40,1357,1027,1027,1013,30303,155,29423,1186,1145,1187,1156,2022-04-13 21:13:40,2,3,5,10
7,scraper_2,2022-04-13 21:14:32,1879,1528,1528,1513,40685,194,39197,1688,1590,1720,1624,2022-04-13 21:14:32,2,3,5,10
8,scraper_1,2022-04-13 21:14:38,1840,1516,1516,1501,42100,175,40668,1743,1637,1780,1671,2022-04-13 21:14:38,2,3,5,10
9,scraper_2,2022-04-13 21:15:26,2280,2061,2061,2045,53470,334,51253,2084,1953,2127,1987,2022-04-13 21:15:26,2,3,5,10
10,scraper_1,2022-04-13 21:15:34,2261,2020,2020,2005,56755,422,53223,2163,2031,2206,2066,2022-04-13 21:15:34,2,3,5,10
11,scraper_2,2022-04-13 21:16:18,2637,2563,2563,2547,66704,652,62351,2307,2171,2349,2206,2022-04-13 21:16:18,2,3,5,10
12,scraper_1,2022-04-13 21:16:31,2562,2526,2526,2510,71670,822,66715,2376,2240,2418,2275,2022-04-13 21:16:31,2,3,5,10
13,scraper_2,2022-04-13 21:17:26,3132,3065,3065,3053,88434,877,81423,2817,2676,2862,2711,2022-04-13 21:17:26,2,3,5,10
14,scraper_1,2022-04-13 21:17:44,3055,3028,3028,3012,100956,957,91129,2845,2704,2890,2739,2022-04-13 21:17:44,2,3,5,10
