insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 02:03:00,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 02:03:00,1,3,5,15
2,scraper_1,2022-04-14 02:03:12,898,508,508,492,8477,0,8539,263,222,269,241,2022-04-14 02:03:12,1,3,5,15
3,scraper_1,2022-04-14 02:03:24,1369,1016,1016,1000,15816,0,17119,526,441,543,466,2022-04-14 02:03:24,1,3,5,15
4,scraper_1,2022-04-14 02:03:45,1840,1520,1520,1503,35006,0,35600,956,849,975,882,2022-04-14 02:03:45,1,3,5,15
5,scraper_1,2022-04-14 02:04:05,2311,2024,2024,2006,54456,0,54269,1335,1215,1358,1243,2022-04-14 02:04:05,1,3,5,15
6,scraper_1,2022-04-14 02:04:26,2778,2530,2530,2511,71656,0,69684,1635,1508,1663,1538,2022-04-14 02:04:26,1,3,5,15
7,scraper_1,2022-04-14 02:04:40,3228,3033,3033,3011,84510,0,81492,1904,1739,1965,1793,2022-04-14 02:04:40,1,3,5,15
8,scraper_1,2022-04-14 02:04:58,3760,3535,3535,3513,107416,0,100744,2256,2062,2308,2121,2022-04-14 02:04:58,1,3,5,15
9,scraper_1,2022-04-14 02:05:18,4120,4038,4038,4016,135488,0,121138,2616,2421,2667,2480,2022-04-14 02:05:18,1,3,5,15
