insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 01:36:19,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 01:36:19,1,2,5,15
2,scraper_1,2022-04-14 01:36:51,950,502,502,486,12012,0,12303,346,330,351,330,2022-04-14 01:36:51,1,2,5,15
3,scraper_1,2022-04-14 01:37:16,1356,1003,1003,987,26679,0,27337,757,720,765,721,2022-04-14 01:37:16,1,2,5,15
4,scraper_1,2022-04-14 01:37:37,1808,1508,1508,1494,39673,0,41312,1093,1020,1116,1036,2022-04-14 01:37:37,1,2,5,15
5,scraper_1,2022-04-14 01:37:48,2324,2013,2013,1995,51411,0,51737,1312,1191,1374,1238,2022-04-14 01:37:48,1,2,5,15
6,scraper_1,2022-04-14 01:38:14,2628,2514,2514,2498,76739,0,73904,1720,1572,1782,1623,2022-04-14 01:38:14,1,2,5,15
7,scraper_1,2022-04-14 01:38:39,3294,3015,3015,2996,92896,0,88746,2030,1863,2089,1917,2022-04-14 01:38:39,1,2,5,15
8,scraper_1,2022-04-14 01:38:55,3631,3518,3518,3499,109705,0,101140,2284,2112,2342,2168,2022-04-14 01:38:55,1,2,5,15
9,scraper_1,2022-04-14 01:39:19,4043,4019,4019,4000,139019,0,126333,2701,2525,2762,2581,2022-04-14 01:39:19,1,2,5,15
