insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_2,2022-04-13 13:52:37,1,1,1,1,0,0,0,0,0,0,0,2022-04-13 13:52:37,4,3,5,15
2,scraper_1,2022-04-13 13:52:37,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 13:52:37,4,3,5,15
3,scraper_4,2022-04-13 13:52:37,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 13:52:37,4,3,5,15
4,scraper_3,2022-04-13 13:52:37,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 13:52:37,4,3,5,15
5,scraper_3,2022-04-13 13:53:26,1037,502,502,486,11633,90,11143,747,679,775,697,2022-04-13 13:53:26,4,3,5,15
6,scraper_4,2022-04-13 13:53:38,963,502,502,486,10643,49,11316,921,849,954,866,2022-04-13 13:53:38,4,3,5,15
7,scraper_1,2022-04-13 13:53:46,794,502,502,486,12801,122,13745,1035,959,1066,976,2022-04-13 13:53:46,4,3,5,15
8,scraper_3,2022-04-13 13:54:28,1323,1006,1006,990,25034,289,25024,1333,1235,1364,1254,2022-04-13 13:54:28,4,3,5,15
9,scraper_2,2022-04-13 13:54:34,808,509,509,493,11838,212,11557,1381,1270,1417,1290,2022-04-13 13:54:34,4,3,5,15
10,scraper_1,2022-04-13 13:54:55,1255,1003,1003,987,30484,419,29981,1482,1364,1518,1383,2022-04-13 13:54:55,4,3,5,15
11,scraper_3,2022-04-13 13:55:18,1732,1508,1508,1492,42346,521,40797,1627,1509,1664,1528,2022-04-13 13:55:18,4,3,5,15
12,scraper_4,2022-04-13 13:55:20,1307,1012,1012,993,22323,425,22468,1638,1519,1675,1538,2022-04-13 13:55:20,4,3,5,15
13,scraper_2,2022-04-13 13:55:28,1212,1018,1018,1002,25730,634,24742,1650,1531,1687,1550,2022-04-13 13:55:28,4,3,5,15
14,scraper_3,2022-04-13 13:55:44,2213,2020,2020,2004,52793,651,48488,1827,1652,1909,1701,2022-04-13 13:55:44,4,3,5,15
15,scraper_1,2022-04-13 13:55:52,1693,1508,1508,1492,50541,794,46762,1874,1685,1973,1737,2022-04-13 13:55:52,4,3,5,15
16,scraper_2,2022-04-13 13:56:20,1686,1519,1519,1503,43240,1024,40038,2170,1972,2268,2027,2022-04-13 13:56:20,4,3,5,15
17,scraper_3,2022-04-13 13:56:39,2780,2524,2524,2505,71402,843,65106,2329,2129,2427,2185,2022-04-13 13:56:39,4,3,5,15
18,scraper_1,2022-04-13 13:56:51,2282,2025,2025,2009,66710,907,61414,2418,2216,2515,2273,2022-04-13 13:56:51,4,3,5,15
19,scraper_4,2022-04-13 13:57:10,1808,1528,1528,1509,31042,648,31198,2507,2304,2604,2361,2022-04-13 13:57:10,4,3,5,15
20,scraper_2,2022-04-13 13:57:50,2157,2021,2021,2005,69362,1330,59084,2742,2539,2839,2596,2022-04-13 13:57:50,4,3,5,15
21,scraper_1,2022-04-13 13:58:16,2633,2528,2528,2512,85113,1277,76520,2883,2680,2980,2737,2022-04-13 13:58:16,4,3,5,15
22,scraper_3,2022-04-13 13:58:40,3142,3026,3026,3008,83779,1149,74667,2990,2786,3087,2841,2022-04-13 13:58:40,4,3,5,15
23,scraper_2,2022-04-13 13:58:53,2536,2524,2524,2509,88079,1674,76187,3014,2809,3111,2864,2022-04-13 13:58:53,4,3,5,15
24,scraper_4,2022-04-13 13:59:14,2263,2029,2029,2010,45660,883,44942,3068,2863,3165,2918,2022-04-13 13:59:14,4,3,5,15
25,scraper_4,2022-04-13 13:59:32,2678,2535,2535,2516,65441,1335,61294,3072,2867,3169,2922,2022-04-13 13:59:32,4,3,5,15
26,scraper_4,2022-04-13 13:59:53,3096,3040,3040,3021,87160,1830,77731,3072,2867,3169,2922,2022-04-13 13:59:53,4,3,5,15
