insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-12 22:05:54,1,1,1,1,0,0,0,0,0,0,0,2022-04-12 22:05:54,4,2,8,10
2,scraper_4,2022-04-12 22:05:54,1,1,1,1,0,0,0,1,1,1,1,2022-04-12 22:05:54,4,2,8,10
3,scraper_3,2022-04-12 22:05:54,1,1,1,1,0,0,0,1,1,1,1,2022-04-12 22:05:54,4,2,8,10
4,scraper_2,2022-04-12 22:05:54,1,1,1,1,0,0,0,1,1,1,1,2022-04-12 22:05:54,4,2,8,10
5,scraper_1,2022-04-12 22:06:17,1602,502,502,487,5548,46,6657,397,329,428,338,2022-04-12 22:06:17,4,2,8,10
6,scraper_3,2022-04-12 22:06:18,986,506,506,491,5330,47,6486,403,329,435,340,2022-04-12 22:06:18,4,2,8,10
7,scraper_1,2022-04-12 22:06:25,1606,1003,1003,991,5549,46,6770,542,353,497,378,2022-04-12 22:06:25,4,2,8,10
8,scraper_3,2022-04-12 22:07:06,1388,1008,1008,990,12072,73,13269,809,563,762,599,2022-04-12 22:07:06,4,2,8,10
9,scraper_4,2022-04-12 22:07:15,1011,502,502,486,8187,26,8688,902,608,870,664,2022-04-12 22:07:15,4,2,8,10
10,scraper_3,2022-04-12 22:07:36,1793,1510,1510,1491,15501,124,16983,1037,730,1014,802,2022-04-12 22:07:36,4,2,8,10
11,scraper_4,2022-04-12 22:07:48,1554,1004,1004,987,9044,48,9610,1175,833,1150,917,2022-04-12 22:07:48,4,2,8,10
12,scraper_2,2022-04-12 22:07:51,760,502,502,486,11865,145,12522,1204,854,1180,939,2022-04-12 22:07:51,4,2,8,10
13,scraper_1,2022-04-12 22:08:16,1815,1511,1511,1495,9429,102,11697,1360,994,1335,1079,2022-04-12 22:08:16,4,2,8,10
14,scraper_2,2022-04-12 22:08:46,1220,1012,1012,993,25512,288,26306,1624,1238,1614,1333,2022-04-12 22:08:46,4,2,8,10
15,scraper_2,2022-04-12 22:08:58,1694,1516,1516,1497,26105,294,26821,1716,1277,1721,1377,2022-04-12 22:08:58,4,2,8,10
16,scraper_1,2022-04-12 22:09:25,2187,2014,2014,1998,19332,451,21036,1929,1433,1942,1551,2022-04-12 22:09:25,4,2,8,10
17,scraper_2,2022-04-12 22:09:31,2174,2041,2041,2022,33269,375,32268,1959,1460,1972,1580,2022-04-12 22:09:31,4,2,8,10
18,scraper_4,2022-04-12 22:10:11,1814,1508,1508,1489,14972,220,15757,2315,1814,2328,1934,2022-04-12 22:10:11,4,2,8,10
19,scraper_3,2022-04-12 22:10:34,2185,2063,2063,2044,31163,451,30901,2544,2040,2557,2161,2022-04-12 22:10:34,4,2,8,10
20,scraper_1,2022-04-12 22:10:42,2949,2517,2517,2501,38881,650,39733,2621,2117,2634,2238,2022-04-12 22:10:42,4,2,8,10
21,scraper_2,2022-04-12 22:10:45,2622,2544,2544,2525,59983,531,55576,2642,2137,2655,2258,2022-04-12 22:10:45,4,2,8,10
22,scraper_3,2022-04-12 22:11:34,2797,2564,2564,2545,47593,755,45817,2987,2478,3001,2596,2022-04-12 22:11:34,4,2,8,10
23,scraper_1,2022-04-12 22:13:04,3322,3019,3019,3003,44957,708,45809,3184,2671,3198,2791,2022-04-12 22:13:04,4,2,8,10
24,scraper_4,2022-04-12 22:15:17,2152,2038,2038,2019,21970,686,21709,3259,2745,3276,2863,2022-04-12 22:15:17,4,2,8,10
25,scraper_3,2022-04-12 22:20:08,3132,3066,3066,3047,60088,1064,57176,3375,2860,3392,2979,2022-04-12 22:20:08,4,2,8,10
26,scraper_1,2022-04-12 22:21:32,3601,3549,3549,3534,48266,1125,48144,3458,2943,3475,3062,2022-04-12 22:21:32,4,2,8,10
27,scraper_2,2022-04-12 22:21:40,3196,3048,3048,3029,72817,655,67749,3461,2946,3478,3065,2022-04-12 22:21:40,4,2,8,10
28,scraper_4,2022-04-12 22:24:37,2815,2539,2539,2520,34147,1081,33161,3679,3164,3696,3283,2022-04-12 22:24:37,4,2,8,10
29,scraper_1,2022-04-12 22:28:10,4254,4074,4074,4058,59645,1296,59653,3905,3385,3922,3505,2022-04-12 22:28:10,4,2,8,10
30,scraper_3,2022-04-12 22:28:30,3665,3567,3567,3548,69575,1223,66676,3926,3406,3943,3526,2022-04-12 22:28:30,4,2,8,10
31,scraper_2,2022-04-12 22:32:14,3637,3582,3582,3563,80223,729,75001,4220,3692,4237,3814,2022-04-12 22:32:14,4,2,8,10
32,scraper_4,2022-04-12 22:33:18,3132,3050,3050,3031,39962,1323,38413,4289,3761,4306,3883,2022-04-12 22:33:18,4,2,8,10
33,scraper_1,2022-04-12 22:34:08,4613,4597,4597,4581,71533,1591,69943,4320,3792,4337,3914,2022-04-12 22:34:08,4,2,8,10
34,scraper_2,2022-04-12 22:34:20,4093,4083,4083,4064,88804,1155,82533,4329,3801,4346,3923,2022-04-12 22:34:20,4,2,8,10
