insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_3,2022-04-13 15:14:03,1,1,1,1,0,0,0,0,0,0,0,2022-04-13 15:14:03,4,3,8,15
2,scraper_4,2022-04-13 15:14:03,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 15:14:03,4,3,8,15
3,scraper_1,2022-04-13 15:14:03,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 15:14:03,4,3,8,15
4,scraper_2,2022-04-13 15:14:03,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 15:14:03,4,3,8,15
5,scraper_4,2022-04-13 15:14:41,1078,507,507,492,11583,52,13433,716,637,736,653,2022-04-13 15:14:41,4,3,8,15
6,scraper_1,2022-04-13 15:14:42,1051,502,502,486,11314,42,11577,740,650,755,678,2022-04-13 15:14:42,4,3,8,15
7,scraper_4,2022-04-13 15:14:55,1434,1014,1014,999,13702,63,16118,1047,865,1064,974,2022-04-13 15:14:55,4,3,8,15
8,scraper_3,2022-04-13 15:15:08,1098,504,504,488,14917,120,14879,1232,1032,1256,1146,2022-04-13 15:15:08,4,3,8,15
9,scraper_1,2022-04-13 15:15:39,1396,1004,1004,988,26922,156,27537,1636,1418,1661,1538,2022-04-13 15:15:39,4,3,8,15
10,scraper_4,2022-04-13 15:15:44,1823,1515,1515,1499,28915,177,30175,1678,1457,1701,1578,2022-04-13 15:15:44,4,3,8,15
11,scraper_2,2022-04-13 15:15:58,960,502,502,486,14226,202,14420,1839,1610,1860,1731,2022-04-13 15:15:58,4,3,8,15
12,scraper_3,2022-04-13 15:16:39,1307,1015,1015,999,26186,441,25970,2128,1885,2149,2009,2022-04-13 15:16:39,4,3,8,15
13,scraper_1,2022-04-13 15:16:46,1827,1507,1507,1489,41300,315,41725,2182,1936,2204,2059,2022-04-13 15:16:46,4,3,8,15
14,scraper_4,2022-04-13 15:16:50,2318,2020,2020,2004,40844,443,41666,2204,1953,2232,2073,2022-04-13 15:16:50,4,3,8,15
15,scraper_2,2022-04-13 15:16:54,1303,1003,1003,987,22413,395,22703,2228,1971,2259,2093,2022-04-13 15:16:54,4,3,8,15
16,scraper_3,2022-04-13 15:17:34,1731,1517,1517,1501,47939,718,43472,2485,2211,2520,2337,2022-04-13 15:17:34,4,3,8,15
17,scraper_3,2022-04-13 15:17:50,2262,2021,2021,1999,48723,726,44103,2552,2223,2607,2358,2022-04-13 15:17:50,4,3,8,15
18,scraper_1,2022-04-13 15:17:52,2244,2026,2026,2007,54198,528,54207,2559,2223,2624,2364,2022-04-13 15:17:52,4,3,8,15
19,scraper_2,2022-04-13 15:17:54,1768,1505,1505,1489,36978,841,34567,2564,2223,2642,2364,2022-04-13 15:17:54,4,3,8,15
20,scraper_4,2022-04-13 15:17:57,2754,2548,2548,2532,56810,893,55172,2578,2226,2652,2366,2022-04-13 15:17:57,4,3,8,15
21,scraper_3,2022-04-13 15:18:12,2647,2524,2524,2503,55875,761,49457,2670,2291,2747,2442,2022-04-13 15:18:12,4,3,8,15
22,scraper_1,2022-04-13 15:18:44,2647,2528,2528,2509,78026,956,72649,2857,2478,2934,2629,2022-04-13 15:18:44,4,3,8,15
23,scraper_2,2022-04-13 15:18:51,2297,2007,2007,1991,61688,1259,55193,2920,2538,2997,2691,2022-04-13 15:18:51,4,3,8,15
24,scraper_4,2022-04-13 15:18:54,3344,3049,3049,3033,80322,1309,74831,2962,2579,3039,2733,2022-04-13 15:18:54,4,3,8,15
25,scraper_3,2022-04-13 15:19:18,3155,3031,3031,3009,87013,926,71747,3330,2945,3407,3101,2022-04-13 15:19:18,4,3,8,15
26,scraper_4,2022-04-13 15:19:26,3827,3555,3555,3541,90123,1368,84716,3412,3008,3491,3175,2022-04-13 15:19:26,4,3,8,15
27,scraper_1,2022-04-13 15:19:51,3132,3029,3029,3010,101954,1313,92757,3555,3115,3638,3300,2022-04-13 15:19:51,4,3,8,15
28,scraper_2,2022-04-13 15:19:56,2613,2508,2508,2495,74654,1656,65404,3594,3154,3677,3338,2022-04-13 15:19:56,4,3,8,15
29,scraper_4,2022-04-13 15:19:59,4177,4056,4056,4041,96835,1579,90153,3600,3159,3683,3343,2022-04-13 15:19:59,4,3,8,15
30,scraper_3,2022-04-13 15:20:20,3711,3574,3574,3552,105143,1120,89276,3678,3237,3761,3421,2022-04-13 15:20:20,4,3,8,15
