insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 02:07:16,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 02:07:16,1,3,8,10
2,scraper_1,2022-04-14 02:07:33,990,502,502,486,13993,0,15482,355,331,361,335,2022-04-14 02:07:33,1,3,8,10
3,scraper_1,2022-04-14 02:07:43,1480,1005,1005,991,21817,0,24219,563,495,576,512,2022-04-14 02:07:43,1,3,8,10
4,scraper_1,2022-04-14 02:07:52,1990,1508,1508,1492,27262,0,30222,704,610,723,629,2022-04-14 02:07:52,1,3,8,10
5,scraper_1,2022-04-14 02:08:12,2384,2009,2009,1992,45903,0,48936,1076,965,1096,989,2022-04-14 02:08:12,1,3,8,10
6,scraper_1,2022-04-14 02:08:33,2837,2516,2516,2498,66874,0,70951,1442,1319,1466,1347,2022-04-14 02:08:33,1,3,8,10
7,scraper_1,2022-04-14 02:08:53,3367,3018,3018,2999,80377,0,83749,1680,1556,1704,1585,2022-04-14 02:08:53,1,3,8,10
8,scraper_1,2022-04-14 02:09:12,3842,3530,3530,3511,93577,0,95819,1955,1822,1979,1855,2022-04-14 02:09:12,1,3,8,10
9,scraper_1,2022-04-14 02:09:26,4315,4031,4031,4012,108290,0,109673,2191,2050,2213,2087,2022-04-14 02:09:26,1,3,8,10
10,scraper_1,2022-04-14 02:09:43,4813,4535,4535,4513,127160,0,126474,2515,2344,2540,2381,2022-04-14 02:09:43,1,3,8,10
11,scraper_1,2022-04-14 02:09:48,5279,5053,5053,5031,128678,0,127380,2563,2356,2652,2420,2022-04-14 02:09:48,1,3,8,10
12,scraper_1,2022-04-14 02:10:03,5737,5565,5565,5545,145418,0,140641,2836,2568,2915,2635,2022-04-14 02:10:03,1,3,8,10
13,scraper_1,2022-04-14 02:10:24,6201,6073,6073,6051,175280,0,161766,3208,2915,3284,2981,2022-04-14 02:10:24,1,3,8,10
