insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 22:32:29,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 22:32:29,1,10,25,45
2,scraper_1,2022-04-14 22:35:45,1141,503,503,487,23864,0,25225,413,388,414,389,2022-04-14 22:35:45,1,10,25,45
3,scraper_1,2022-04-14 22:38:19,1560,1005,1005,989,48079,0,49025,814,770,820,770,2022-04-14 22:38:19,1,10,25,45
4,scraper_1,2022-04-14 22:40:48,2305,1506,1506,1490,55050,0,56221,1007,882,946,888,2022-04-14 22:40:48,1,10,25,45
5,scraper_1,2022-04-14 22:40:57,2691,2009,2009,1993,55228,0,56518,1054,894,966,903,2022-04-14 22:40:57,1,10,25,45
6,scraper_1,2022-04-14 22:42:44,3049,2512,2512,2496,59109,0,60687,1155,953,1069,965,2022-04-14 22:42:44,1,10,25,45
7,scraper_1,2022-04-14 22:43:08,3555,3016,3016,2997,60989,0,61768,1207,963,1147,986,2022-04-14 22:43:08,1,10,25,45
8,scraper_1,2022-04-14 22:43:16,4048,3517,3517,3499,61529,0,62061,1252,963,1249,1014,2022-04-14 22:43:16,1,10,25,45
9,scraper_1,2022-04-14 22:43:52,4490,4018,4018,3994,63749,0,64373,1309,994,1356,1054,2022-04-14 22:43:52,1,10,25,45
10,scraper_1,2022-04-14 22:46:35,5002,4526,4526,4501,71830,0,74032,1482,1129,1535,1216,2022-04-14 22:46:35,1,10,25,45
11,scraper_1,2022-04-14 22:47:04,5630,5044,5044,5019,74751,0,77327,1572,1168,1632,1275,2022-04-14 22:47:04,1,10,25,45
12,scraper_1,2022-04-14 22:47:33,6266,5547,5547,5522,86337,0,80167,1672,1207,1718,1314,2022-04-14 22:47:33,1,10,25,45
13,scraper_1,2022-04-14 22:47:43,6754,6048,6048,6023,87885,0,81145,1793,1221,1766,1340,2022-04-14 22:47:43,1,10,25,45
14,scraper_1,2022-04-14 22:47:50,7103,6552,6552,6526,89967,0,81870,1924,1247,1858,1359,2022-04-14 22:47:50,1,10,25,45
15,scraper_1,2022-04-14 22:48:15,7485,7056,7056,7028,92114,0,83249,1969,1265,1899,1391,2022-04-14 22:48:15,1,10,25,45
16,scraper_1,2022-04-14 22:48:30,8409,7559,7559,7530,95220,0,84751,2009,1279,1927,1435,2022-04-14 22:48:30,1,10,25,45
17,scraper_1,2022-04-14 22:48:43,8621,8061,8061,8031,97574,0,85353,2036,1284,1937,1447,2022-04-14 22:48:43,1,10,25,45
18,scraper_1,2022-04-14 22:48:52,9428,8566,8566,8536,100030,0,87128,2100,1292,1961,1478,2022-04-14 22:48:52,1,10,25,45
19,scraper_1,2022-04-14 22:48:58,9611,9067,9067,9039,100459,0,87879,2143,1296,1980,1496,2022-04-14 22:48:58,1,10,25,45
20,scraper_1,2022-04-14 22:49:04,10291,9570,9570,9539,101337,0,90043,2199,1299,1992,1524,2022-04-14 22:49:04,1,10,25,45
21,scraper_1,2022-04-14 22:49:10,10856,10077,10077,10046,102261,0,91860,2264,1307,2021,1552,2022-04-14 22:49:10,1,10,25,45
22,scraper_1,2022-04-14 22:49:16,11371,10582,10582,10551,102961,0,93543,2325,1312,2046,1576,2022-04-14 22:49:16,1,10,25,45
23,scraper_1,2022-04-14 22:49:21,11514,11083,11083,11058,103721,0,94630,2363,1315,2055,1589,2022-04-14 22:49:21,1,10,25,45
24,scraper_1,2022-04-14 22:49:38,11997,11587,11587,11556,107634,0,99423,2495,1384,2168,1675,2022-04-14 22:49:38,1,10,25,45
25,scraper_1,2022-04-14 22:49:45,12439,12089,12089,12059,108440,0,101487,2630,1401,2305,1882,2022-04-14 22:49:45,1,10,25,45
26,scraper_1,2022-04-14 22:50:04,12850,12592,12592,12561,113397,0,107509,2793,1484,2471,2018,2022-04-14 22:50:04,1,10,25,45
27,scraper_1,2022-04-14 22:50:50,13304,13094,13094,13063,123834,0,118369,2978,1641,2660,2176,2022-04-14 22:50:50,1,10,25,45
28,scraper_1,2022-04-14 22:54:56,13699,13595,13595,13564,149336,0,143941,3387,2033,3071,2582,2022-04-14 22:54:56,1,10,25,45
29,scraper_1,2022-04-14 23:00:28,14352,14096,14096,14065,177643,0,167920,3779,2415,3463,2968,2022-04-14 23:00:28,1,10,25,45
30,scraper_1,2022-04-14 23:06:06,14844,14598,14598,14567,202620,0,191314,4158,2791,3842,3342,2022-04-14 23:06:06,1,10,25,45
31,scraper_1,2022-04-14 23:12:24,15405,15099,15099,15068,216056,0,204548,4381,3014,4065,3565,2022-04-14 23:12:24,1,10,25,45
32,scraper_1,2022-04-14 23:18:21,15948,15605,15605,15574,229166,0,217161,4620,3253,4304,3804,2022-04-14 23:18:21,1,10,25,45
33,scraper_1,2022-04-14 23:20:56,16266,16106,16106,16076,248175,0,232629,4876,3509,4560,4060,2022-04-14 23:20:56,1,10,25,45
34,scraper_1,2022-04-14 23:21:24,16794,16654,16654,16625,259718,0,241157,5011,3644,4695,4195,2022-04-14 23:21:24,1,10,25,45
35,scraper_1,2022-04-14 23:23:07,17232,17155,17155,17124,290682,0,267618,5427,4053,5110,4603,2022-04-14 23:23:07,1,10,25,45
