insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 02:11:10,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 02:11:10,1,3,8,15
2,scraper_1,2022-04-14 02:11:20,1190,508,508,492,8363,0,9008,153,134,163,138,2022-04-14 02:11:20,1,3,8,15
3,scraper_1,2022-04-14 02:11:28,1651,1048,1048,1029,10557,0,11198,263,205,323,213,2022-04-14 02:11:28,1,3,8,15
4,scraper_1,2022-04-14 02:11:38,2062,1550,1550,1531,17402,0,18920,443,354,533,360,2022-04-14 02:11:38,1,3,8,15
5,scraper_1,2022-04-14 02:11:46,2628,2069,2069,2051,23397,0,25906,613,484,711,502,2022-04-14 02:11:46,1,3,8,15
6,scraper_1,2022-04-14 02:11:51,3031,2570,2570,2552,23498,0,26020,671,488,774,533,2022-04-14 02:11:51,1,3,8,15
7,scraper_1,2022-04-14 02:12:11,3444,3071,3071,3051,43229,0,44841,997,798,1106,869,2022-04-14 02:12:11,1,3,8,15
8,scraper_1,2022-04-14 02:12:33,3920,3576,3576,3554,65024,0,64935,1368,1162,1476,1232,2022-04-14 02:12:33,1,3,8,15
9,scraper_1,2022-04-14 02:12:55,4411,4078,4078,4054,82335,0,81729,1664,1450,1774,1520,2022-04-14 02:12:55,1,3,8,15
10,scraper_1,2022-04-14 02:13:16,4822,4581,4581,4556,93659,0,92528,1917,1699,2027,1770,2022-04-14 02:13:16,1,3,8,15
11,scraper_1,2022-04-14 02:13:23,5337,5086,5086,5066,98290,0,97225,2043,1787,2210,1871,2022-04-14 02:13:23,1,3,8,15
12,scraper_1,2022-04-14 02:13:36,5828,5593,5593,5567,111452,0,107489,2240,1950,2426,2053,2022-04-14 02:13:36,1,3,8,15
13,scraper_1,2022-04-14 02:13:57,6270,6099,6099,6071,125483,0,120999,2620,2238,2783,2437,2022-04-14 02:13:57,1,3,8,15
14,scraper_1,2022-04-14 02:14:09,6669,6601,6601,6573,138580,0,131886,2875,2427,3009,2622,2022-04-14 02:14:09,1,3,8,15
15,scraper_1,2022-04-14 02:14:24,7341,7107,7107,7079,152528,0,145485,3105,2654,3239,2851,2022-04-14 02:14:24,1,3,8,15
16,scraper_1,2022-04-14 02:14:47,7707,7608,7608,7580,184104,0,170270,3504,3047,3637,3248,2022-04-14 02:14:47,1,3,8,15
