insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 01:12:13,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 01:12:13,1,2,5,10
2,scraper_1,2022-04-14 01:15:18,933,502,502,486,13462,0,13669,369,353,372,356,2022-04-14 01:15:18,1,2,5,10
3,scraper_1,2022-04-14 01:18:47,1403,1004,1004,984,26247,0,26622,725,681,732,683,2022-04-14 01:18:47,1,2,5,10
4,scraper_1,2022-04-14 01:21:19,1808,1505,1505,1485,40851,0,41946,1058,987,1067,995,2022-04-14 01:21:19,1,2,5,10
5,scraper_1,2022-04-14 01:25:04,2284,2007,2007,1987,54868,0,54762,1346,1269,1355,1280,2022-04-14 01:25:04,1,2,5,10
6,scraper_1,2022-04-14 01:27:10,2760,2508,2508,2485,73228,0,70489,1661,1542,1708,1573,2022-04-14 01:27:10,1,2,5,10
7,scraper_1,2022-04-14 01:29:12,3149,3009,3009,2986,89469,0,85983,1963,1810,2012,1848,2022-04-14 01:29:12,1,2,5,10
8,scraper_1,2022-04-14 01:32:21,3700,3513,3513,3490,120975,0,110485,2389,2232,2437,2269,2022-04-14 01:32:21,1,2,5,10
9,scraper_1,2022-04-14 01:34:49,4085,4022,4022,3999,142546,0,129110,2722,2559,2770,2598,2022-04-14 01:34:49,1,2,5,10
