insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-15 00:18:44,1,1,1,1,0,0,0,0,0,0,0,2022-04-15 00:18:44,2,10,35,45
2,scraper_2,2022-04-15 00:18:45,1,1,1,1,0,0,0,1,1,1,1,2022-04-15 00:18:45,2,10,35,45
3,scraper_2,2022-04-15 00:19:25,1083,502,502,488,15965,81,16981,561,521,571,531,2022-04-15 00:19:25,2,10,35,45
4,scraper_1,2022-04-15 00:19:30,1166,510,510,495,21866,8,23279,635,575,646,593,2022-04-15 00:19:30,2,10,35,45
5,scraper_2,2022-04-15 00:19:45,1748,1004,1004,989,20935,84,22982,856,755,891,773,2022-04-15 00:19:45,2,10,35,45
6,scraper_1,2022-04-15 00:19:52,1822,1016,1016,1004,31571,37,33921,938,788,994,835,2022-04-15 00:19:52,2,10,35,45
7,scraper_2,2022-04-15 00:19:58,2237,1516,1516,1499,21451,85,24794,1001,800,1051,846,2022-04-15 00:19:58,2,10,35,45
8,scraper_1,2022-04-15 00:20:05,2535,1519,1519,1505,32240,40,35104,1042,805,1096,852,2022-04-15 00:20:05,2,10,35,45
9,scraper_2,2022-04-15 00:20:13,2748,2017,2017,2001,32066,87,24992,1052,811,1118,853,2022-04-15 00:20:13,2,10,35,45
10,scraper_1,2022-04-15 00:20:22,3041,2020,2020,2004,32575,41,35234,1112,815,1210,869,2022-04-15 00:20:22,2,10,35,45
11,scraper_2,2022-04-15 00:20:24,3369,2526,2526,2514,34664,96,25165,1124,815,1223,875,2022-04-15 00:20:24,2,10,35,45
12,scraper_1,2022-04-15 00:20:34,3666,2522,2522,2505,33148,41,35700,1166,822,1280,884,2022-04-15 00:20:34,2,10,35,45
13,scraper_1,2022-04-15 00:20:43,4071,3027,3027,3009,34218,41,36206,1229,830,1358,891,2022-04-15 00:20:43,2,10,35,45
14,scraper_2,2022-04-15 00:20:44,3691,3031,3031,3012,39490,96,25248,1250,834,1378,891,2022-04-15 00:20:44,2,10,35,45
15,scraper_1,2022-04-15 00:20:54,4538,3610,3610,3586,35154,41,36609,1355,854,1517,971,2022-04-15 00:20:54,2,10,35,45
16,scraper_2,2022-04-15 00:20:59,4554,3537,3537,3517,40852,98,27700,1382,855,1537,978,2022-04-15 00:20:59,2,10,35,45
17,scraper_1,2022-04-15 00:21:09,5027,4111,4111,4092,36821,41,36778,1405,855,1549,982,2022-04-15 00:21:09,2,10,35,45
18,scraper_2,2022-04-15 00:21:18,4914,4039,4039,4020,48248,99,34869,1448,857,1569,983,2022-04-15 00:21:18,2,10,35,45
19,scraper_1,2022-04-15 00:21:28,5714,4617,4617,4598,38652,47,37261,1484,860,1601,994,2022-04-15 00:21:28,2,10,35,45
20,scraper_2,2022-04-15 00:21:40,5443,4543,4543,4521,57118,99,42572,1509,864,1607,996,2022-04-15 00:21:40,2,10,35,45
21,scraper_1,2022-04-15 00:21:48,6098,5119,5119,5099,40223,47,37528,1517,865,1616,997,2022-04-15 00:21:48,2,10,35,45
22,scraper_2,2022-04-15 00:21:57,6073,5050,5050,5030,63530,103,50427,1563,871,1644,1022,2022-04-15 00:21:57,2,10,35,45
