insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_2,2022-04-13 01:34:23,1,1,1,1,0,0,0,0,0,0,0,2022-04-13 01:34:23,4,2,8,15
2,scraper_3,2022-04-13 01:34:23,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 01:34:23,4,2,8,15
3,scraper_4,2022-04-13 01:34:23,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 01:34:23,4,2,8,15
4,scraper_1,2022-04-13 01:34:23,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 01:34:23,4,2,8,15
5,scraper_3,2022-04-13 01:40:49,933,503,503,486,11153,94,12389,877,802,883,821,2022-04-13 01:40:49,4,2,8,15
6,scraper_4,2022-04-13 01:41:05,899,505,505,489,10939,107,12069,948,844,995,874,2022-04-13 01:41:05,4,2,8,15
7,scraper_2,2022-04-13 01:43:08,946,502,502,486,15019,132,15106,1222,1103,1279,1133,2022-04-13 01:43:08,4,2,8,15
8,scraper_3,2022-04-13 01:43:38,1348,1004,1004,985,16282,189,17916,1305,1178,1363,1208,2022-04-13 01:43:38,4,2,8,15
9,scraper_1,2022-04-13 01:43:47,875,502,502,486,14048,115,14972,1323,1194,1384,1226,2022-04-13 01:43:47,4,2,8,15
10,scraper_2,2022-04-13 01:46:18,1280,1008,1008,992,21508,281,21912,1651,1499,1713,1532,2022-04-13 01:46:18,4,2,8,15
11,scraper_4,2022-04-13 01:46:35,1286,1006,1006,990,22249,277,23827,1672,1518,1734,1551,2022-04-13 01:46:35,4,2,8,15
12,scraper_1,2022-04-13 01:48:04,1227,1006,1006,987,23402,490,23164,1888,1668,1897,1703,2022-04-13 01:48:04,4,2,8,15
13,scraper_2,2022-04-13 01:48:04,2207,1511,1511,1495,25953,364,25946,1893,1670,1899,1705,2022-04-13 01:48:04,4,2,8,15
14,scraper_2,2022-04-13 01:48:14,2344,2019,2019,2003,26115,365,25994,1969,1685,1916,1728,2022-04-13 01:48:14,4,2,8,15
15,scraper_2,2022-04-13 01:49:39,2713,2553,2553,2537,29450,553,28419,2091,1794,2027,1837,2022-04-13 01:49:39,4,2,8,15
16,scraper_3,2022-04-13 01:50:10,1703,1531,1531,1512,31354,516,30972,2123,1826,2059,1869,2022-04-13 01:50:10,4,2,8,15
17,scraper_4,2022-04-13 01:51:10,1643,1507,1507,1491,34297,668,33477,2183,1883,2118,1926,2022-04-13 01:51:10,4,2,8,15
18,scraper_4,2022-04-13 01:51:34,2154,2009,2009,1993,35782,687,34770,2283,1912,2202,1950,2022-04-13 01:51:34,4,2,8,15
19,scraper_4,2022-04-13 01:51:46,2664,2511,2511,2492,36561,694,35157,2336,1918,2313,1983,2022-04-13 01:51:46,4,2,8,15
20,scraper_1,2022-04-13 01:52:43,1595,1510,1510,1491,35066,899,31938,2388,1962,2371,2030,2022-04-13 01:52:43,4,2,8,15
21,scraper_3,2022-04-13 01:54:49,2291,2035,2035,2016,43871,936,41116,2538,2108,2521,2178,2022-04-13 01:54:49,4,2,8,15
22,scraper_2,2022-04-13 01:58:05,3262,3054,3054,3038,51162,789,47462,2874,2444,2857,2514,2022-04-13 01:58:05,4,2,8,15
23,scraper_4,2022-04-13 01:59:07,3155,3015,3015,2996,52685,936,47740,2967,2537,2950,2607,2022-04-13 01:59:07,4,2,8,15
24,scraper_3,2022-04-13 02:00:26,2794,2559,2559,2541,52369,994,48706,3106,2669,3089,2740,2022-04-13 02:00:26,4,2,8,15
25,scraper_1,2022-04-13 02:01:37,2156,2011,2011,1992,43889,1026,40662,3197,2754,3180,2829,2022-04-13 02:01:37,4,2,8,15
26,scraper_3,2022-04-13 02:03:59,3129,3088,3088,3069,60857,1263,56484,3396,2948,3379,3025,2022-04-13 02:03:59,4,2,8,15
27,scraper_2,2022-04-13 02:04:21,3604,3559,3559,3543,65140,981,59638,3429,2981,3412,3056,2022-04-13 02:04:21,4,2,8,15
28,scraper_1,2022-04-13 02:06:13,2549,2512,2512,2493,52798,1283,49994,3572,3124,3555,3199,2022-04-13 02:06:13,4,2,8,15
