insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_2,2022-04-13 20:52:38,1,1,1,1,0,0,0,0,0,0,0,2022-04-13 20:52:38,2,2,8,15
2,scraper_1,2022-04-13 20:52:38,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 20:52:38,2,2,8,15
3,scraper_2,2022-04-13 20:53:51,777,504,504,488,16153,32,16997,628,578,648,586,2022-04-13 20:53:51,2,2,8,15
4,scraper_1,2022-04-13 20:53:53,987,507,507,491,12765,54,15053,643,591,663,599,2022-04-13 20:53:53,2,2,8,15
5,scraper_2,2022-04-13 20:54:36,1358,1005,1005,993,21658,60,23463,954,822,990,843,2022-04-13 20:54:36,2,2,8,15
6,scraper_1,2022-04-13 20:54:41,1340,1012,1012,996,19209,129,21652,967,825,1029,856,2022-04-13 20:54:41,2,2,8,15
7,scraper_1,2022-04-13 20:55:15,1848,1514,1514,1498,24431,142,26852,1212,1002,1323,1065,2022-04-13 20:55:15,2,2,8,15
8,scraper_2,2022-04-13 20:55:20,1666,1506,1506,1494,27285,135,28489,1240,1024,1351,1091,2022-04-13 20:55:20,2,2,8,15
9,scraper_1,2022-04-13 20:56:21,2256,2019,2019,2005,42627,230,44089,1684,1439,1798,1509,2022-04-13 20:56:21,2,2,8,15
10,scraper_2,2022-04-13 20:57:12,2092,2014,2014,1998,43332,233,43950,2096,1841,2218,1911,2022-04-13 20:57:12,2,2,8,15
11,scraper_1,2022-04-13 20:57:21,2748,2520,2520,2503,67545,299,66703,2155,1900,2277,1970,2022-04-13 20:57:21,2,2,8,15
12,scraper_1,2022-04-13 20:58:03,3183,3025,3025,3008,75925,335,74865,2498,2239,2620,2309,2022-04-13 20:58:03,2,2,8,15
13,scraper_2,2022-04-13 20:58:05,2811,2518,2518,2504,58282,289,58381,2514,2255,2635,2324,2022-04-13 20:58:05,2,2,8,15
14,scraper_1,2022-04-13 20:59:02,3614,3527,3527,3510,101942,400,97428,3040,2778,3161,2845,2022-04-13 20:59:02,2,2,8,15
15,scraper_1,2022-04-13 20:59:51,4210,4042,4042,4032,126479,465,117117,3417,3154,3538,3221,2022-04-13 20:59:51,2,2,8,15
16,scraper_2,2022-04-13 20:59:52,3202,3020,3020,3004,67823,294,67494,3421,3158,3542,3225,2022-04-13 20:59:52,2,2,8,15
17,scraper_2,2022-04-13 21:01:03,3811,3710,3710,3694,75055,916,73576,3758,3495,3879,3562,2022-04-13 21:01:03,2,2,8,15
