insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-12 21:42:10,1,1,1,1,0,0,0,0,0,0,0,2022-04-12 21:42:10,4,2,5,10
2,scraper_3,2022-04-12 21:42:10,1,1,1,1,0,0,0,1,1,1,1,2022-04-12 21:42:10,4,2,5,10
3,scraper_4,2022-04-12 21:42:10,1,1,1,1,0,0,0,1,1,1,1,2022-04-12 21:42:10,4,2,5,10
4,scraper_2,2022-04-12 21:42:10,1,1,1,1,0,0,0,1,1,1,1,2022-04-12 21:42:10,4,2,5,10
5,scraper_2,2022-04-12 21:44:45,920,503,503,487,10829,102,11914,717,655,722,671,2022-04-12 21:44:45,4,2,5,10
6,scraper_4,2022-04-12 21:45:22,742,502,502,486,12065,147,12659,962,888,969,904,2022-04-12 21:45:22,4,2,5,10
7,scraper_3,2022-04-12 21:45:33,726,505,505,489,10874,168,11866,1068,980,1079,996,2022-04-12 21:45:33,4,2,5,10
8,scraper_1,2022-04-12 21:46:00,947,502,502,486,12279,129,12238,1372,1246,1418,1268,2022-04-12 21:46:00,4,2,5,10
9,scraper_3,2022-04-12 21:46:01,1196,1011,1011,992,16247,260,17177,1399,1267,1453,1291,2022-04-12 21:46:01,4,2,5,10
10,scraper_2,2022-04-12 21:46:34,1259,1005,1005,989,25208,237,26457,1775,1597,1856,1644,2022-04-12 21:46:34,4,2,5,10
11,scraper_3,2022-04-12 21:46:41,1631,1512,1512,1493,25885,361,25269,1827,1648,1907,1695,2022-04-12 21:46:41,4,2,5,10
12,scraper_4,2022-04-12 21:46:56,1188,1081,1081,1065,23235,482,23147,1927,1746,2006,1794,2022-04-12 21:46:56,4,2,5,10
13,scraper_1,2022-04-12 21:47:19,1291,1003,1003,987,22760,501,21226,2137,1951,2219,1998,2022-04-12 21:47:19,4,2,5,10
14,scraper_2,2022-04-12 21:47:34,1693,1506,1506,1490,37411,493,36682,2262,2075,2344,2122,2022-04-12 21:47:34,4,2,5,10
15,scraper_3,2022-04-12 21:47:55,2322,2052,2052,2033,37534,779,33816,2377,2189,2459,2237,2022-04-12 21:47:55,4,2,5,10
16,scraper_1,2022-04-12 21:48:26,1627,1554,1554,1538,35710,956,32480,2503,2315,2585,2363,2022-04-12 21:48:26,4,2,5,10
17,scraper_2,2022-04-12 21:48:37,2085,2030,2030,2014,52864,931,48825,2558,2370,2640,2418,2022-04-12 21:48:37,4,2,5,10
18,scraper_3,2022-04-12 21:48:54,2655,2555,2555,2536,48160,1133,42569,2648,2459,2730,2508,2022-04-12 21:48:54,4,2,5,10
19,scraper_4,2022-04-12 21:48:55,1797,1582,1582,1566,36142,728,34620,2658,2469,2740,2518,2022-04-12 21:48:55,4,2,5,10
20,scraper_2,2022-04-12 21:49:33,2602,2531,2531,2515,63183,1035,59569,2829,2640,2911,2689,2022-04-12 21:49:33,4,2,5,10
21,scraper_1,2022-04-12 21:50:13,2155,2057,2057,2041,43835,1243,41167,2948,2759,3030,2808,2022-04-12 21:50:13,4,2,5,10
22,scraper_4,2022-04-12 21:50:38,2245,2228,2228,2212,44802,1213,42261,2974,2785,3056,2834,2022-04-12 21:50:38,4,2,5,10
