insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_2,2022-04-13 13:14:59,1,1,1,1,0,0,0,0,0,0,0,2022-04-13 13:14:59,4,3,5,10
2,scraper_1,2022-04-13 13:14:59,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 13:14:59,4,3,5,10
3,scraper_4,2022-04-13 13:14:59,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 13:14:59,4,3,5,10
4,scraper_3,2022-04-13 13:14:59,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 13:14:59,4,3,5,10
5,scraper_1,2022-04-13 13:23:42,903,505,505,489,12115,123,11883,950,899,959,910,2022-04-13 13:23:42,4,3,5,10
6,scraper_3,2022-04-13 13:23:44,937,506,506,490,10528,96,11650,957,906,969,917,2022-04-13 13:23:44,4,3,5,10
7,scraper_4,2022-04-13 13:24:29,915,503,503,487,13398,175,13575,1049,991,1061,1002,2022-04-13 13:24:29,4,3,5,10
8,scraper_2,2022-04-13 13:25:09,859,503,503,487,14022,171,13561,1119,1059,1132,1071,2022-04-13 13:25:09,4,3,5,10
9,scraper_3,2022-04-13 13:28:21,1330,1020,1020,1004,21584,421,22293,1365,1287,1378,1301,2022-04-13 13:28:21,4,3,5,10
10,scraper_1,2022-04-13 13:29:42,1255,1006,1006,990,25015,392,24939,1481,1393,1495,1412,2022-04-13 13:29:42,4,3,5,10
11,scraper_2,2022-04-13 13:30:05,1277,1004,1004,988,24888,541,23946,1514,1425,1530,1445,2022-04-13 13:30:05,4,3,5,10
12,scraper_4,2022-04-13 13:31:54,1299,1010,1010,994,23747,448,23991,1650,1557,1667,1577,2022-04-13 13:31:54,4,3,5,10
13,scraper_2,2022-04-13 13:35:19,1734,1512,1512,1496,40598,842,38089,1891,1797,1909,1817,2022-04-13 13:35:19,4,3,5,10
14,scraper_4,2022-04-13 13:36:29,1806,1522,1522,1506,38828,746,37268,1999,1903,2016,1922,2022-04-13 13:36:29,4,3,5,10
15,scraper_3,2022-04-13 13:37:07,1824,1525,1525,1510,34895,578,34794,2061,1961,2078,1982,2022-04-13 13:37:07,4,3,5,10
16,scraper_1,2022-04-13 13:38:42,1644,1508,1508,1492,51569,606,47688,2166,2054,2180,2074,2022-04-13 13:38:42,4,3,5,10
17,scraper_3,2022-04-13 13:39:12,2249,2045,2045,2026,51621,1008,49651,2185,2072,2199,2093,2022-04-13 13:39:12,4,3,5,10
18,scraper_4,2022-04-13 13:41:05,2297,2024,2024,2008,59811,1180,55623,2351,2238,2365,2259,2022-04-13 13:41:05,4,3,5,10
19,scraper_2,2022-04-13 13:41:05,2261,2024,2024,2008,57617,1195,52138,2353,2240,2367,2261,2022-04-13 13:41:05,4,3,5,10
20,scraper_3,2022-04-13 13:43:42,2728,2546,2546,2527,79009,1404,70394,2578,2464,2593,2485,2022-04-13 13:43:42,4,3,5,10
21,scraper_1,2022-04-13 13:44:25,2167,2009,2009,1993,68884,972,61645,2600,2486,2615,2507,2022-04-13 13:44:25,4,3,5,10
22,scraper_2,2022-04-13 13:47:41,2629,2528,2528,2512,77666,1510,68440,2763,2646,2781,2664,2022-04-13 13:47:41,4,3,5,10
23,scraper_4,2022-04-13 13:48:35,2602,2525,2525,2509,81050,1533,72978,2808,2687,2826,2705,2022-04-13 13:48:35,4,3,5,10
24,scraper_1,2022-04-13 13:48:43,2609,2512,2512,2498,80829,1244,73759,2859,2706,2896,2729,2022-04-13 13:48:43,4,3,5,10
25,scraper_1,2022-04-13 13:50:36,3022,3017,3017,3001,89684,1443,80774,2980,2801,3072,2849,2022-04-13 13:50:36,4,3,5,10
