insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 01:54:35,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 01:54:35,1,2,8,15
2,scraper_1,2022-04-14 01:54:50,1030,505,505,489,14651,0,14774,337,302,339,306,2022-04-14 01:54:50,1,2,8,15
3,scraper_1,2022-04-14 01:55:02,1477,1009,1009,993,21787,0,23931,511,455,539,456,2022-04-14 01:55:02,1,2,8,15
4,scraper_1,2022-04-14 01:55:13,2220,1511,1511,1495,30492,0,33247,701,617,740,630,2022-04-14 01:55:13,1,2,8,15
5,scraper_1,2022-04-14 01:55:20,2532,2020,2020,2005,33430,0,36931,812,687,859,726,2022-04-14 01:55:20,1,2,8,15
6,scraper_1,2022-04-14 01:55:27,3018,2528,2528,2516,35728,0,39950,902,739,952,810,2022-04-14 01:55:27,1,2,8,15
7,scraper_1,2022-04-14 01:55:35,3466,3029,3029,3012,37933,0,42284,984,785,1024,866,2022-04-14 01:55:35,1,2,8,15
8,scraper_1,2022-04-14 01:55:50,3886,3530,3530,3512,50888,0,55295,1238,1023,1283,1110,2022-04-14 01:55:50,1,2,8,15
9,scraper_1,2022-04-14 01:56:16,4366,4036,4036,4015,67987,0,72509,1547,1323,1591,1417,2022-04-14 01:56:16,1,2,8,15
10,scraper_1,2022-04-14 01:56:42,4891,4552,4552,4530,79728,0,83564,1791,1567,1835,1661,2022-04-14 01:56:42,1,2,8,15
11,scraper_1,2022-04-14 01:57:02,5377,5056,5056,5034,98675,0,100558,2112,1875,2155,1978,2022-04-14 01:57:02,1,2,8,15
12,scraper_1,2022-04-14 01:57:20,5816,5558,5558,5536,117649,0,118205,2449,2192,2503,2290,2022-04-14 01:57:20,1,2,8,15
13,scraper_1,2022-04-14 01:57:27,6292,6064,6064,6042,121308,0,121651,2534,2242,2652,2365,2022-04-14 01:57:27,1,2,8,15
14,scraper_1,2022-04-14 01:57:44,6680,6565,6565,6541,145231,0,140675,2881,2553,2998,2682,2022-04-14 01:57:44,1,2,8,15
15,scraper_1,2022-04-14 01:57:59,7252,7070,7070,7045,163516,0,156935,3191,2811,3283,2936,2022-04-14 01:57:59,1,2,8,15
