insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-13 20:26:59,1,1,1,1,0,0,0,0,0,0,0,2022-04-13 20:26:59,2,2,8,10
2,scraper_2,2022-04-13 20:26:59,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 20:26:59,2,2,8,10
3,scraper_2,2022-04-13 20:29:29,980,510,510,495,12796,44,14203,480,453,482,454,2022-04-13 20:29:29,2,2,8,10
4,scraper_1,2022-04-13 20:30:29,1047,503,503,487,13120,21,14476,663,607,707,615,2022-04-13 20:30:29,2,2,8,10
5,scraper_2,2022-04-13 20:32:02,1396,1011,1011,995,20802,98,22787,902,801,953,834,2022-04-13 20:32:02,2,2,8,10
6,scraper_1,2022-04-13 20:32:22,1567,1007,1007,991,17248,68,19924,945,826,994,868,2022-04-13 20:32:22,2,2,8,10
7,scraper_1,2022-04-13 20:32:57,2019,1512,1512,1499,17651,68,20537,1038,877,1102,935,2022-04-13 20:32:57,2,2,8,10
8,scraper_2,2022-04-13 20:34:11,1893,1512,1512,1496,30081,130,31829,1287,1099,1346,1180,2022-04-13 20:34:11,2,2,8,10
9,scraper_1,2022-04-13 20:35:30,2503,2014,2014,1993,30720,107,33302,1510,1317,1569,1396,2022-04-13 20:35:30,2,2,8,10
10,scraper_2,2022-04-13 20:37:07,2423,2013,2013,1997,44211,261,43947,1819,1621,1880,1702,2022-04-13 20:37:07,2,2,8,10
11,scraper_1,2022-04-13 20:38:05,2925,2515,2515,2493,49766,175,51385,2020,1812,2084,1894,2022-04-13 20:38:05,2,2,8,10
12,scraper_2,2022-04-13 20:39:06,2822,2516,2516,2500,53436,548,51807,2249,2036,2311,2119,2022-04-13 20:39:06,2,2,8,10
13,scraper_2,2022-04-13 20:40:00,3374,3019,3019,3003,54913,552,52969,2436,2180,2541,2277,2022-04-13 20:40:00,2,2,8,10
14,scraper_1,2022-04-13 20:40:20,3288,3016,3016,2994,74744,327,72464,2532,2250,2654,2348,2022-04-13 20:40:20,2,2,8,10
15,scraper_2,2022-04-13 20:41:23,3749,3535,3535,3520,58632,716,55707,2747,2451,2881,2560,2022-04-13 20:41:23,2,2,8,10
16,scraper_1,2022-04-13 20:42:31,3672,3517,3517,3495,102295,431,95274,3019,2718,3152,2830,2022-04-13 20:42:31,2,2,8,10
17,scraper_1,2022-04-13 20:44:23,4128,4020,4020,3998,122947,560,114628,3423,3116,3559,3228,2022-04-13 20:44:23,2,2,8,10
18,scraper_1,2022-04-13 20:45:03,4557,4557,4557,4546,126393,594,117810,3509,3201,3645,3314,2022-04-13 20:45:03,2,2,8,10
19,scraper_2,2022-04-13 20:45:07,4278,4039,4039,4023,76122,777,70236,3516,3208,3652,3321,2022-04-13 20:45:07,2,2,8,10
20,scraper_2,2022-04-13 20:46:29,4556,4541,4541,4525,85742,1022,80190,3627,3319,3763,3432,2022-04-13 20:46:29,2,2,8,10
