insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 20:21:11,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 20:21:11,2,5,25,45
2,scraper_2,2022-04-14 20:21:11,1,1,1,1,0,0,0,1,1,1,1,2022-04-14 20:21:11,2,5,25,45
3,scraper_2,2022-04-14 20:21:51,795,503,503,488,13462,15,15524,464,421,480,432,2022-04-14 20:21:51,2,5,25,45
4,scraper_1,2022-04-14 20:21:57,1083,504,504,488,14425,23,15614,546,489,564,502,2022-04-14 20:21:57,2,5,25,45
5,scraper_1,2022-04-14 20:22:11,1899,1007,1007,988,17017,29,18998,760,619,782,637,2022-04-14 20:22:11,2,5,25,45
6,scraper_1,2022-04-14 20:22:19,2377,1514,1514,1495,17601,29,19507,878,691,920,705,2022-04-14 20:22:19,2,5,25,45
7,scraper_1,2022-04-14 20:22:28,2846,2018,2018,1999,17924,30,19895,1007,763,1068,797,2022-04-14 20:22:28,2,5,25,45
8,scraper_2,2022-04-14 20:22:29,1432,1005,1005,989,27201,32,30464,1028,764,1080,818,2022-04-14 20:22:29,2,5,25,45
9,scraper_1,2022-04-14 20:22:37,3278,2520,2520,2500,18124,32,20321,1121,807,1203,913,2022-04-14 20:22:37,2,5,25,45
10,scraper_2,2022-04-14 20:22:44,1942,1507,1507,1496,29049,34,33666,1235,813,1294,1047,2022-04-14 20:22:44,2,5,25,45
11,scraper_1,2022-04-14 20:22:50,4213,3024,3024,3004,18323,33,20429,1325,834,1350,1099,2022-04-14 20:22:50,2,5,25,45
12,scraper_1,2022-04-14 20:23:04,4375,3529,3529,3509,18463,33,20475,1485,925,1458,1203,2022-04-14 20:23:04,2,5,25,45
13,scraper_2,2022-04-14 20:23:19,2263,2011,2011,1995,41230,59,45807,1621,1029,1590,1321,2022-04-14 20:23:19,2,5,25,45
14,scraper_1,2022-04-14 20:23:22,4727,4033,4033,4015,20443,42,22200,1652,1043,1661,1351,2022-04-14 20:23:22,2,5,25,45
15,scraper_1,2022-04-14 20:23:43,5084,4535,4535,4510,23383,63,25030,1875,1225,1906,1547,2022-04-14 20:23:43,2,5,25,45
16,scraper_2,2022-04-14 20:23:58,2736,2512,2512,2496,56698,102,62476,2029,1356,2070,1691,2022-04-14 20:23:58,2,5,25,45
17,scraper_1,2022-04-14 20:24:11,5652,5050,5050,5025,27340,138,29511,2135,1450,2185,1793,2022-04-14 20:24:11,2,5,25,45
18,scraper_2,2022-04-14 20:24:19,3282,3020,3020,3004,64090,193,70693,2197,1478,2244,1841,2022-04-14 20:24:19,2,5,25,45
19,scraper_1,2022-04-14 20:24:25,6196,5554,5554,5530,28701,149,29883,2237,1483,2284,1855,2022-04-14 20:24:25,2,5,25,45
20,scraper_2,2022-04-14 20:24:31,3878,3523,3523,3507,64852,200,72217,2268,1485,2309,1881,2022-04-14 20:24:31,2,5,25,45
21,scraper_2,2022-04-14 20:24:40,4749,4027,4027,4012,66051,201,73998,2322,1486,2324,1909,2022-04-14 20:24:40,2,5,25,45
22,scraper_2,2022-04-14 20:24:57,5158,4534,4534,4523,77308,201,84643,2343,1505,2345,1928,2022-04-14 20:24:57,2,5,25,45
23,scraper_2,2022-04-14 20:25:12,5534,5041,5041,5025,86314,201,94310,2369,1513,2371,1948,2022-04-14 20:25:12,2,5,25,45
24,scraper_2,2022-04-14 20:25:21,5995,5549,5549,5533,88058,202,96752,2415,1518,2380,1971,2022-04-14 20:25:21,2,5,25,45
25,scraper_1,2022-04-14 20:25:28,6518,6062,6062,6037,33296,249,32144,2458,1530,2396,1994,2022-04-14 20:25:28,2,5,25,45
26,scraper_2,2022-04-14 20:25:30,6379,6050,6050,6035,88790,203,98121,2491,1535,2420,2006,2022-04-14 20:25:30,2,5,25,45
27,scraper_2,2022-04-14 20:25:40,6936,6552,6552,6536,89896,222,98563,2575,1577,2511,2043,2022-04-14 20:25:40,2,5,25,45
