insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-13 21:25:17,1,1,1,1,0,0,0,0,0,0,0,2022-04-13 21:25:17,2,3,5,15
2,scraper_2,2022-04-13 21:25:17,1,1,1,1,0,0,0,1,1,1,1,2022-04-13 21:25:17,2,3,5,15
3,scraper_1,2022-04-13 21:26:23,917,508,508,492,13512,50,14192,603,559,610,560,2022-04-13 21:26:23,2,3,5,15
4,scraper_2,2022-04-13 21:26:27,716,506,506,491,11536,65,12874,639,592,646,593,2022-04-13 21:26:27,2,3,5,15
5,scraper_2,2022-04-13 21:27:33,1077,1011,1011,997,22210,232,23839,1245,1146,1256,1154,2022-04-13 21:27:33,2,3,5,15
6,scraper_1,2022-04-13 21:27:33,1320,1009,1009,998,30120,108,30232,1246,1146,1257,1154,2022-04-13 21:27:33,2,3,5,15
7,scraper_2,2022-04-13 21:28:27,1756,1515,1515,1500,34072,383,35190,1704,1575,1721,1582,2022-04-13 21:28:27,2,3,5,15
8,scraper_1,2022-04-13 21:28:27,1754,1510,1510,1494,46403,201,44215,1705,1576,1722,1583,2022-04-13 21:28:27,2,3,5,15
9,scraper_1,2022-04-13 21:29:26,2096,2024,2024,2008,67645,495,62662,2103,1970,2120,1979,2022-04-13 21:29:26,2,3,5,15
10,scraper_2,2022-04-13 21:29:28,2249,2097,2097,2081,49574,637,48818,2105,1972,2122,1981,2022-04-13 21:29:28,2,3,5,15
11,scraper_1,2022-04-13 21:30:19,2657,2526,2526,2510,82276,668,77128,2462,2326,2479,2337,2022-04-13 21:30:19,2,3,5,15
12,scraper_2,2022-04-13 21:30:35,2752,2653,2653,2638,59838,860,57867,2560,2423,2577,2435,2022-04-13 21:30:35,2,3,5,15
13,scraper_1,2022-04-13 21:31:15,3120,3027,3027,3016,100709,716,91788,2780,2643,2797,2655,2022-04-13 21:31:15,2,3,5,15
14,scraper_2,2022-04-13 21:31:52,3241,3194,3194,3178,86936,1314,81784,2954,2817,2971,2829,2022-04-13 21:31:52,2,3,5,15
