insertion_id,scraper_name,start_time,enqueued,dequeued,request_count,response_count,duplicates_filtered_internal,duplicates_filtered_from_others,offsites_filtered,computing_count,undergrad_count,research_count,online_count,current_time,subprocesses,initial_depth,filter_depth,max_depth
1,scraper_1,2022-04-14 19:19:38,1,1,1,1,0,0,0,0,0,0,0,2022-04-14 19:19:38,4,5,25,45
2,scraper_3,2022-04-14 19:19:38,1,1,1,1,0,0,0,1,1,1,1,2022-04-14 19:19:38,4,5,25,45
3,scraper_2,2022-04-14 19:19:38,1,1,1,1,0,0,0,1,1,1,1,2022-04-14 19:19:38,4,5,25,45
4,scraper_4,2022-04-14 19:19:38,1,1,1,1,0,0,0,1,1,1,1,2022-04-14 19:19:38,4,5,25,45
5,scraper_4,2022-04-14 19:26:19,1421,503,503,487,11575,78,13164,711,642,720,655,2022-04-14 19:26:19,4,5,25,45
6,scraper_4,2022-04-14 19:26:29,1556,1005,1005,990,11767,78,13380,757,657,742,679,2022-04-14 19:26:29,4,5,25,45
7,scraper_1,2022-04-14 19:27:14,1251,503,503,487,14207,89,15321,844,723,831,749,2022-04-14 19:27:14,4,5,25,45
8,scraper_1,2022-04-14 19:27:54,1705,1005,1005,986,15618,93,16704,981,799,1037,837,2022-04-14 19:27:54,4,5,25,45
9,scraper_2,2022-04-14 19:29:35,1248,502,502,486,20567,88,21062,1258,1044,1336,1090,2022-04-14 19:29:35,4,5,25,45
10,scraper_1,2022-04-14 19:30:01,2310,1508,1508,1489,20760,130,21761,1330,1103,1415,1151,2022-04-14 19:30:01,4,5,25,45
11,scraper_4,2022-04-14 19:30:18,2698,1508,1508,1490,19389,102,21865,1395,1126,1488,1192,2022-04-14 19:30:18,4,5,25,45
12,scraper_3,2022-04-14 19:30:26,1290,502,502,486,18257,97,18299,1427,1141,1535,1211,2022-04-14 19:30:26,4,5,25,45
13,scraper_4,2022-04-14 19:30:27,3305,2031,2031,2013,20514,110,23092,1454,1149,1563,1222,2022-04-14 19:30:27,4,5,25,45
14,scraper_1,2022-04-14 19:30:31,2882,2021,2021,2000,21734,152,22754,1481,1160,1596,1237,2022-04-14 19:30:31,4,5,25,45
15,scraper_1,2022-04-14 19:30:39,3293,2524,2524,2504,31787,157,22853,1511,1170,1632,1249,2022-04-14 19:30:39,4,5,25,45
16,scraper_4,2022-04-14 19:30:40,3755,2535,2535,2516,21941,117,24616,1524,1171,1647,1250,2022-04-14 19:30:40,4,5,25,45
17,scraper_1,2022-04-14 19:30:45,3760,3057,3057,3036,33213,161,23284,1585,1184,1717,1277,2022-04-14 19:30:45,4,5,25,45
18,scraper_4,2022-04-14 19:30:52,4380,3036,3036,3019,22375,121,24991,1680,1199,1829,1319,2022-04-14 19:30:52,4,5,25,45
19,scraper_1,2022-04-14 19:30:56,4188,3558,3558,3536,34090,165,24912,1709,1204,1854,1338,2022-04-14 19:30:56,4,5,25,45
20,scraper_3,2022-04-14 19:30:58,1917,1007,1007,991,19246,104,18995,1715,1206,1862,1343,2022-04-14 19:30:58,4,5,25,45
21,scraper_4,2022-04-14 19:31:11,4707,3538,3538,3517,23263,126,25235,1872,1235,1977,1378,2022-04-14 19:31:11,4,5,25,45
22,scraper_1,2022-04-14 19:31:12,4805,4061,4061,4040,34832,171,26352,1885,1238,1996,1392,2022-04-14 19:31:12,4,5,25,45
