log_count/INFO,9
start_time,2022-04-06 20:51:51.933844
scheduler/enqueued/memory,360
scheduler/enqueued,360
scheduler/dequeued/memory,57
scheduler/dequeued,57
downloader/request_count,59
downloader/request_method_count/GET,59
downloader/request_bytes,17481
robotstxt/request_count,2
downloader/response_count,43
downloader/response_status_count/200,38
downloader/response_bytes,2239004
log_count/DEBUG,483
response_received_count,41
robotstxt/response_count,2
robotstxt/response_status_count/200,1
request_depth_max,3
dupefilter/filtered,1693
offsite/domains,130
offsite/filtered,2078
log_count/ERROR,2
spider_exceptions/IndexError,1
downloader/response_status_count/302,2
downloader/response_status_count/404,3
robotstxt/response_status_count/404,1
httpcompression/response_bytes,13497
httpcompression/response_count,1
computing,0
undergraduate,0
research,0
online,0
current_time,2022-04-06 16:51:57.382589
